ACCOUNTID,CUSTOMERID,ACCOUNTTYPE,ACCOUNTSTATUS,OPENDATE,CLOSEDATE
10056,56,Checking,Active,2018-06-22,2024-11-13
10057,57,Savings,Dormant,2021-01-07,2024-11-13
10058,58,Checking,Dormant,2024-08-13,2024-11-13
10059,59,Checking,Dormant,2019-02-21,2024-11-13
10060,60,Checking,Active,2018-04-14,2024-11-13
10061,61,Checking,Active,2021-11-26,2024-11-13
10062,62,Savings,Dormant,2019-04-14,2024-11-13
10063,63,Savings,Dormant,2019-11-21,
10064,64,Savings,Dormant,2015-09-20,2024-11-13
10065,65,Savings,Active,2023-08-30,2024-11-13
10066,66,Checking,Dormant,2017-05-07,2024-11-13
10067,67,Savings,Dormant,2017-06-25,2024-11-13
10068,68,Savings,Active,2018-03-14,2024-11-13
10069,69,Savings,Active,2015-07-13,2024-11-13
10070,70,Checking,Dormant,2018-01-28,2024-11-13
10071,71,Checking,Dormant,2022-02-02,2024-11-13
10072,72,Checking,Active,2017-09-17,2024-11-13
10073,73,Checking,Dormant,2023-01-18,2024-11-13
10074,74,Checking,Active,2016-04-09,2024-11-13
10075,75,Checking,Active,2015-12-15,2024-11-13
10076,76,Checking,Active,2017-02-07,2024-11-13
10077,77,Checking,Active,2018-01-23,2024-11-13
10078,78,Savings,Dormant,2021-04-11,2024-11-13
10079,79,Savings,Dormant,2023-03-26,2024-11-13
10080,80,Checking,Active,2015-10-16,2024-11-13
10081,81,Savings,Dormant,2017-03-21,2024-11-13
10082,82,Savings,Active,2022-01-03,2024-11-13
10083,83,Savings,Dormant,2024-03-30,2024-11-13
10084,84,Savings,Dormant,2022-04-30,2024-11-13
10085,85,Checking,Dormant,2023-11-18,2024-11-13
10086,86,Savings,Dormant,2024-03-18,2024-11-13
10087,87,Checking,Active,2015-07-01,
10088,88,Checking,Dormant,2019-06-25,2024-11-13
10089,89,Savings,Active,2018-12-02,2024-11-13
10090,90,Checking,Active,2020-02-01,2024-11-13
10091,91,Savings,Dormant,2017-08-24,2024-11-13
10092,92,Savings,Dormant,2023-07-06,2024-11-13
10093,93,Savings,Active,2021-12-17,2024-11-13
10094,94,Checking,Active,2017-11-23,
10095,95,Savings,Dormant,2024-04-22,2024-11-13
10096,96,Checking,Dormant,2022-09-07,2024-11-13
10097,97,Savings,Dormant,2022-02-10,2024-11-13
10098,98,Savings,Dormant,2017-03-18,2024-11-13
10099,99,Checking,Dormant,2016-01-15,2024-11-13
10100,100,Savings,Active,2016-04-11,2024-11-13
10101,101,Savings,Dormant,2022-04-14,2024-11-13
10102,102,Savings,Active,2024-11-01,
10103,103,Savings,Active,2018-05-26,2024-11-13
10104,104,Savings,Dormant,2020-05-25,2024-11-13
10105,105,Savings,Dormant,2018-11-16,2024-11-13
10106,106,Savings,Dormant,2022-02-25,
10107,107,Savings,Dormant,2016-04-05,2024-11-13
10108,108,Savings,Active,2020-01-29,2024-11-13
10109,109,Checking,Active,2020-06-11,2024-11-13
10110,110,Savings,Active,2019-01-02,2024-11-13
10111,111,Savings,Active,2016-07-08,
10112,112,Savings,Dormant,2019-03-12,2024-11-13
10113,113,Savings,Dormant,2020-08-10,2024-11-13
10114,114,Savings,Active,2021-07-02,2024-11-13
10115,115,Checking,Active,2015-12-21,2024-11-13
10116,116,Savings,Dormant,2017-10-06,
10117,117,Savings,Active,2022-05-22,2024-11-13
10118,118,Checking,Active,2019-08-06,2024-11-13
10119,119,Checking,Active,2021-11-07,
10120,120,Savings,Active,2020-09-18,
10121,121,Savings,Dormant,2021-01-05,2024-11-13
10122,122,Savings,Active,2016-10-29,2024-11-13
10123,123,Checking,Active,2021-10-26,2024-11-13
10124,124,Checking,Active,2019-11-09,2024-11-13
10125,125,Checking,Active,2023-01-08,2024-11-13
10126,126,Savings,Active,2023-01-14,2024-11-13
10127,127,Checking,Active,2024-09-15,2024-11-13
10128,128,Savings,Dormant,2020-04-17,2024-11-13
10129,129,Checking,Active,2015-09-01,2024-11-13
10130,130,Savings,Dormant,2018-09-07,2024-11-13
10131,131,Savings,Dormant,2016-07-22,2024-11-13
10132,132,Checking,Active,2016-11-16,2024-11-13
10133,133,Savings,Dormant,2021-08-26,2024-11-13
10134,134,Savings,Dormant,2020-05-16,
10135,135,Savings,Dormant,2018-03-08,2024-11-13
10136,136,Savings,Dormant,2021-05-17,2024-11-13
10137,137,Savings,Active,2021-11-11,2024-11-13
10138,138,Savings,Dormant,2018-07-09,2024-11-13
10139,139,Savings,Dormant,2021-04-02,2024-11-13
10140,140,Checking,Dormant,2021-07-28,2024-11-13
10141,141,Savings,Dormant,2021-10-01,
10142,142,Checking,Active,2022-04-21,2024-11-13
10143,143,Checking,Dormant,2021-07-01,2024-11-13
10144,144,Savings,Active,2020-03-31,2024-11-13
10145,145,Savings,Dormant,2018-05-26,2024-11-13
10146,146,Checking,Active,2022-10-17,2024-11-13
10147,147,Savings,Active,2022-09-08,2024-11-13
10148,148,Savings,Dormant,2020-03-09,2024-11-13
10149,149,Savings,Dormant,2021-03-23,2024-11-13
10150,150,Savings,Dormant,2019-05-04,2024-11-13
10151,151,Checking,Dormant,2022-07-01,2024-11-13
10152,152,Savings,Active,2023-01-11,2024-11-13
10153,153,Savings,Dormant,2019-10-27,2024-11-13
10154,154,Checking,Active,2021-10-18,2024-11-13
10155,155,Checking,Active,2020-04-02,2024-11-13
10156,156,Checking,Active,2019-11-14,2024-11-13
10157,157,Savings,Dormant,2020-12-24,2024-11-13
10158,158,Checking,Active,2022-02-26,2024-11-13
10159,159,Checking,Active,2021-12-10,
10160,160,Checking,Active,2018-12-12,2024-11-13
10161,161,Savings,Active,2017-07-01,2024-11-13
10162,162,Savings,Active,2022-06-10,2024-11-13
10163,163,Checking,Dormant,2021-08-11,2024-11-13
10164,164,Checking,Active,2023-11-24,2024-11-13
10165,165,Savings,Active,2016-07-30,
10166,166,Checking,Active,2024-07-28,2024-11-13
10167,167,Checking,Active,2016-11-01,2024-11-13
10168,168,Savings,Active,2021-04-26,2024-11-13
10169,169,Savings,Dormant,2020-07-13,2024-11-13
10170,170,Savings,Dormant,2024-03-20,2024-11-13
10171,171,Checking,Dormant,2015-10-14,2024-11-13
10172,172,Savings,Active,2021-07-18,2024-11-13
10173,173,Savings,Active,2017-06-03,2024-11-13
10174,174,Savings,Dormant,2019-12-16,2024-11-13
10175,175,Checking,Active,2023-09-21,2024-11-13
10176,176,Savings,Active,2022-05-25,2024-11-13
10177,177,Checking,Dormant,2020-06-10,2024-11-13
10178,178,Savings,Active,2020-12-01,2024-11-13
10179,179,Checking,Dormant,2019-12-22,2024-11-13
10180,180,Checking,Active,2017-11-13,2024-11-13
10181,181,Checking,Active,2024-03-13,2024-11-13
10182,182,Checking,Active,2017-05-14,2024-11-13
10183,183,Checking,Active,2017-05-31,2024-11-13
10184,184,Savings,Dormant,2023-05-04,2024-11-13
10185,185,Savings,Active,2021-05-08,2024-11-13
10186,186,Checking,Dormant,2021-02-02,2024-11-13
10187,187,Checking,Active,2024-01-20,
10188,188,Checking,Active,2023-10-07,2024-11-13
10189,189,Savings,Active,2015-02-06,2024-11-13
10190,190,Savings,Active,2023-12-26,2024-11-13
10191,191,Savings,Dormant,2015-01-25,2024-11-13
10192,192,Savings,Dormant,2022-09-26,2024-11-13
10193,193,Savings,Active,2023-08-31,2024-11-13
10194,194,Savings,Active,2018-12-18,
10195,195,Savings,Active,2024-07-02,2024-11-13
10196,196,Savings,Dormant,2023-07-30,2024-11-13
10197,197,Checking,Dormant,2019-09-05,2024-11-13
10198,198,Savings,Active,2020-09-28,2024-11-13
10199,199,Savings,Active,2020-06-28,2024-11-13
10200,200,Checking,Active,2022-12-15,2024-11-13
10201,201,Savings,Dormant,2015-06-08,2024-11-13
10202,202,Savings,Dormant,2017-11-09,2024-11-13
10203,203,Savings,Active,2022-08-17,2024-11-13
10204,204,Savings,Dormant,2015-02-04,2024-11-13
10205,205,Checking,Active,2016-12-28,
10206,206,Checking,Active,2015-07-17,2024-11-13
10207,207,Checking,Dormant,2016-09-29,2024-11-13
10208,208,Savings,Dormant,2023-07-01,2024-11-13
10209,209,Savings,Dormant,2022-09-06,2024-11-13
10210,210,Checking,Active,2018-03-17,2024-11-13
10211,211,Savings,Dormant,2024-08-19,2024-11-13
10212,212,Checking,Dormant,2015-04-01,2024-11-13
10213,213,Savings,Active,2022-04-05,2024-11-13
10214,214,Checking,Active,2020-09-05,2024-11-13
10215,215,Checking,Active,2016-10-25,2024-11-13
10216,216,Savings,Active,2018-11-12,2024-11-13
10217,217,Savings,Active,2016-08-12,2024-11-13
10218,218,Savings,Active,2016-12-30,2024-11-13
10219,219,Checking,Dormant,2016-08-04,2024-11-13
10220,220,Savings,Active,2020-05-12,2024-11-13
10221,221,Checking,Active,2018-03-28,2024-11-13
10222,222,Savings,Dormant,2017-06-27,2024-11-13
10223,223,Checking,Active,2016-12-17,
10224,224,Checking,Dormant,2022-11-27,2024-11-13
10225,225,Savings,Active,2015-01-24,2024-11-13
10226,226,Savings,Dormant,2017-04-17,2024-11-13
10227,227,Savings,Dormant,2017-11-30,2024-11-13
10228,228,Savings,Dormant,2015-11-12,2024-11-13
10229,229,Savings,Active,2021-03-23,2024-11-13
10230,230,Savings,Active,2024-06-23,2024-11-13
10231,231,Savings,Active,2018-05-01,2024-11-13
10232,232,Checking,Dormant,2017-05-16,2024-11-13
10233,233,Checking,Active,2017-01-10,2024-11-13
10234,234,Checking,Dormant,2017-05-16,2024-11-13
10235,235,Savings,Active,2022-05-15,2024-11-13
10236,236,Savings,Active,2023-07-07,2024-11-13
10237,237,Savings,Active,2017-10-12,2024-11-13
10238,238,Savings,Dormant,2016-02-23,2024-11-13
10239,239,Savings,Active,2023-07-31,2024-11-13
10240,240,Savings,Active,2017-01-01,
10241,241,Checking,Dormant,2020-06-19,2024-11-13
10242,242,Checking,Dormant,2018-01-02,2024-11-13
10243,243,Savings,Active,2022-05-26,2024-11-13
10244,244,Checking,Active,2024-07-17,2024-11-13
10245,245,Savings,Dormant,2024-04-20,2024-11-13
10246,246,Checking,Dormant,2015-04-02,2024-11-13
10247,247,Savings,Dormant,2016-12-14,
10248,248,Checking,Active,2021-06-05,2024-11-13
10249,249,Savings,Dormant,2014-12-20,2024-11-13
10250,250,Savings,Dormant,2016-12-13,2024-11-13
10251,251,Savings,Dormant,2020-11-02,2024-11-13
10252,252,Savings,Dormant,2021-08-26,
10253,253,Checking,Dormant,2023-03-17,2024-11-13
10254,254,Savings,Dormant,2020-05-27,2024-11-13
10255,255,Savings,Active,2020-08-05,2024-11-13
10256,256,Checking,Active,2017-01-30,2024-11-13
10257,257,Savings,Dormant,2017-05-22,2024-11-13
10258,258,Checking,Dormant,2017-11-30,2024-11-13
10259,259,Checking,Active,2023-10-02,2024-11-13
10260,260,Savings,Dormant,2020-04-15,
10261,261,Savings,Dormant,2023-07-24,2024-11-13
10262,262,Checking,Active,2019-01-04,2024-11-13
10263,263,Checking,Active,2022-02-12,2024-11-13
10264,264,Savings,Dormant,2021-06-05,2024-11-13
10265,265,Savings,Dormant,2022-09-30,2024-11-13
10266,266,Checking,Dormant,2017-05-28,2024-11-13
10267,267,Savings,Active,2023-11-11,2024-11-13
10268,268,Checking,Active,2018-06-04,2024-11-13
10269,269,Checking,Dormant,2015-10-12,2024-11-13
10270,270,Savings,Dormant,2016-01-18,2024-11-13
10271,271,Savings,Dormant,2014-12-20,2024-11-13
10272,272,Savings,Active,2020-07-28,2024-11-13
10273,273,Savings,Dormant,2018-12-28,2024-11-13
10274,274,Savings,Active,2019-04-28,2024-11-13
10275,275,Checking,Active,2022-07-30,2024-11-13
10276,276,Savings,Dormant,2016-04-06,2024-11-13
10277,277,Savings,Active,2020-05-16,2024-11-13
10278,278,Checking,Dormant,2022-05-31,2024-11-13
10279,279,Savings,Active,2022-01-28,2024-11-13
10280,280,Savings,Dormant,2021-01-18,
10281,281,Savings,Dormant,2022-07-16,2024-11-13
10282,282,Checking,Dormant,2015-12-04,2024-11-13
10283,283,Savings,Active,2019-07-28,2024-11-13
10284,284,Checking,Dormant,2021-01-28,2024-11-13
10285,285,Savings,Dormant,2021-06-18,2024-11-13
10286,286,Checking,Active,2016-11-30,2024-11-13
10287,287,Savings,Dormant,2020-06-04,2024-11-13
10288,288,Savings,Dormant,2019-01-18,
10289,289,Savings,Dormant,2019-05-07,2024-11-13
10290,290,Savings,Dormant,2022-04-27,2024-11-13
10291,291,Savings,Active,2018-02-23,2024-11-13
10292,292,Savings,Active,2020-09-28,2024-11-13
10293,293,Savings,Dormant,2017-09-14,2024-11-13
10294,294,Savings,Active,2023-07-26,2024-11-13
10295,295,Checking,Active,2022-05-02,2024-11-13
10296,296,Checking,Active,2022-02-15,2024-11-13
10297,297,Checking,Active,2021-04-24,
10298,298,Savings,Dormant,2021-06-20,2024-11-13
10299,299,Savings,Dormant,2015-03-10,2024-11-13
10300,300,Checking,Dormant,2019-07-05,2024-11-13
10301,301,Savings,Active,2020-11-21,2024-11-13
10302,302,Savings,Active,2022-07-29,2024-11-13
10303,303,Checking,Dormant,2016-04-09,2024-11-13
10304,304,Checking,Active,2015-10-01,2024-11-13
10305,305,Checking,Active,2016-03-19,
10306,306,Checking,Active,2020-04-07,2024-11-13
10307,307,Savings,Dormant,2016-10-19,2024-11-13
10308,308,Checking,Dormant,2022-07-03,2024-11-13
10309,309,Checking,Active,2022-04-29,2024-11-13
10310,310,Checking,Active,2022-12-31,2024-11-13
10311,311,Savings,Dormant,2019-01-15,2024-11-13
10312,312,Checking,Active,2023-12-01,2024-11-13
10313,313,Checking,Active,2023-10-30,2024-11-13
10314,314,Checking,Active,2018-09-27,2024-11-13
10315,315,Savings,Active,2016-03-20,2024-11-13
10316,316,Savings,Dormant,2021-10-13,2024-11-13
10317,317,Savings,Dormant,2020-01-15,2024-11-13
10318,318,Checking,Dormant,2020-11-24,2024-11-13
10319,319,Checking,Active,2022-02-27,2024-11-13
10320,320,Savings,Active,2017-01-22,2024-11-13
10321,321,Checking,Active,2018-05-29,2024-11-13
10322,322,Savings,Dormant,2017-07-13,
10323,323,Checking,Active,2018-07-25,2024-11-13
10324,324,Savings,Active,2023-07-13,2024-11-13
10325,325,Checking,Dormant,2017-05-18,2024-11-13
10326,326,Checking,Active,2021-06-26,2024-11-13
10327,327,Savings,Dormant,2022-03-26,2024-11-13
10328,328,Savings,Dormant,2015-03-30,2024-11-13
10329,329,Checking,Dormant,2015-04-10,
10330,330,Savings,Dormant,2015-04-09,2024-11-13
10331,331,Savings,Active,2021-09-18,2024-11-13
10332,332,Checking,Dormant,2017-08-08,2024-11-13
10333,333,Checking,Dormant,2023-08-01,2024-11-13
10334,334,Checking,Dormant,2018-04-10,2024-11-13
10335,335,Savings,Active,2016-11-02,2024-11-13
10336,336,Checking,Active,2019-04-01,2024-11-13
10337,337,Savings,Dormant,2020-06-08,2024-11-13
10338,338,Checking,Dormant,2015-12-17,2024-11-13
10339,339,Checking,Active,2019-09-30,2024-11-13
10340,340,Checking,Active,2019-06-16,2024-11-13
10341,341,Savings,Dormant,2016-08-18,2024-11-13
10342,342,Checking,Active,2019-04-17,2024-11-13
10343,343,Checking,Active,2015-08-23,2024-11-13
10344,344,Savings,Active,2024-02-28,2024-11-13
10345,345,Checking,Dormant,2023-05-17,2024-11-13
10346,346,Checking,Dormant,2015-10-09,2024-11-13
10347,347,Savings,Active,2020-09-22,2024-11-13
10348,348,Savings,Active,2024-07-09,2024-11-13
10349,349,Savings,Active,2023-05-31,2024-11-13
10350,350,Checking,Active,2019-03-07,2024-11-13
10351,351,Checking,Active,2016-06-25,2024-11-13
10352,352,Savings,Active,2017-11-02,2024-11-13
10353,353,Checking,Dormant,2019-07-14,
10354,354,Checking,Dormant,2018-10-16,2024-11-13
10355,355,Checking,Active,2024-03-18,2024-11-13
10356,356,Savings,Active,2023-03-31,2024-11-13
10357,357,Savings,Dormant,2018-04-03,
10358,358,Savings,Dormant,2019-02-06,2024-11-13
10359,359,Savings,Active,2024-01-06,2024-11-13
10360,360,Savings,Active,2023-03-09,2024-11-13
10361,361,Savings,Dormant,2021-07-27,2024-11-13
10362,362,Checking,Dormant,2024-04-25,2024-11-13
10363,363,Checking,Dormant,2017-03-21,2024-11-13
10364,364,Checking,Dormant,2020-09-23,2024-11-13
10365,365,Savings,Dormant,2020-10-09,2024-11-13
10366,366,Savings,Active,2023-07-11,2024-11-13
10367,367,Checking,Active,2015-08-30,2024-11-13
10368,368,Savings,Dormant,2016-05-12,2024-11-13
10369,369,Checking,Dormant,2018-07-14,2024-11-13
10370,370,Savings,Active,2018-09-19,2024-11-13
10371,371,Checking,Active,2017-10-02,2024-11-13
10372,372,Savings,Active,2018-07-11,2024-11-13
10373,373,Checking,Active,2022-03-20,2024-11-13
10374,374,Checking,Active,2014-11-17,2024-11-13
10375,375,Savings,Active,2018-06-03,2024-11-13
10376,376,Savings,Active,2019-01-13,2024-11-13
10377,377,Checking,Dormant,2016-07-27,2024-11-13
10378,378,Savings,Dormant,2024-08-12,
10379,379,Checking,Active,2023-06-12,2024-11-13
10380,380,Savings,Dormant,2019-03-11,2024-11-13
10381,381,Savings,Dormant,2022-11-06,2024-11-13
10382,382,Checking,Active,2024-09-05,2024-11-13
10383,383,Checking,Dormant,2019-05-12,2024-11-13
10384,384,Savings,Dormant,2018-12-22,2024-11-13
10385,385,Savings,Active,2023-04-17,2024-11-13
10386,386,Savings,Active,2017-04-26,2024-11-13
10387,387,Checking,Active,2024-06-10,2024-11-13
10388,388,Checking,Active,2019-03-04,2024-11-13
10389,389,Savings,Dormant,2020-08-05,2024-11-13
10390,390,Savings,Dormant,2015-05-05,2024-11-13
10391,391,Savings,Active,2016-02-25,2024-11-13
10392,392,Savings,Active,2015-08-01,2024-11-13
10393,393,Checking,Dormant,2015-06-05,2024-11-13
10394,394,Checking,Dormant,2020-12-04,
10395,395,Savings,Active,2018-05-10,2024-11-13
10396,396,Savings,Dormant,2022-04-12,2024-11-13
10397,397,Savings,Dormant,2023-01-13,
10398,398,Checking,Active,2015-02-25,2024-11-13
10399,399,Savings,Active,2019-11-08,2024-11-13
10400,400,Checking,Dormant,2014-11-15,2024-11-13
10401,401,Savings,Active,2024-10-12,2024-11-13
10402,402,Savings,Active,2021-04-05,2024-11-13
10403,403,Checking,Active,2020-11-02,2024-11-13
10404,404,Savings,Dormant,2015-07-16,
10405,405,Checking,Dormant,2017-12-17,2024-11-13
10406,406,Checking,Dormant,2018-07-06,2024-11-13
10407,407,Savings,Active,2020-11-10,2024-11-13
10408,408,Checking,Active,2019-11-14,2024-11-13
10409,409,Checking,Dormant,2023-04-29,2024-11-13
10410,410,Savings,Dormant,2015-07-14,2024-11-13
10411,411,Savings,Dormant,2023-10-01,2024-11-13
10412,412,Checking,Dormant,2022-01-29,2024-11-13
10413,413,Checking,Dormant,2021-12-26,2024-11-13
10414,414,Checking,Dormant,2015-06-16,2024-11-13
10415,415,Checking,Active,2021-09-25,2024-11-13
10416,416,Checking,Active,2024-03-08,2024-11-13
10417,417,Checking,Dormant,2019-10-31,2024-11-13
10418,418,Checking,Active,2023-11-07,
10419,419,Savings,Dormant,2019-07-22,2024-11-13
10420,420,Savings,Dormant,2016-04-14,2024-11-13
10421,421,Savings,Active,2016-03-06,2024-11-13
10422,422,Checking,Active,2019-03-11,2024-11-13
10423,423,Checking,Active,2018-11-19,2024-11-13
10424,424,Savings,Dormant,2018-06-22,2024-11-13
10425,425,Savings,Active,2019-11-23,
10426,426,Checking,Active,2018-11-23,2024-11-13
10427,427,Checking,Active,2024-01-23,2024-11-13
10428,428,Savings,Dormant,2021-05-01,2024-11-13
10429,429,Checking,Active,2019-07-29,2024-11-13
10430,430,Checking,Dormant,2016-11-24,2024-11-13
10431,431,Savings,Active,2015-09-14,2024-11-13
10432,432,Checking,Active,2015-09-02,2024-11-13
10433,433,Savings,Active,2021-10-20,2024-11-13
10434,434,Savings,Active,2018-11-21,2024-11-13
10435,435,Savings,Dormant,2019-08-26,2024-11-13
10436,436,Savings,Dormant,2021-03-01,2024-11-13
10437,437,Savings,Dormant,2022-11-02,2024-11-13
10438,438,Checking,Dormant,2019-12-27,2024-11-13
10439,439,Savings,Dormant,2018-05-20,2024-11-13
10440,440,Checking,Active,2020-11-15,
10441,441,Checking,Dormant,2018-10-07,2024-11-13
10442,442,Checking,Dormant,2020-04-16,2024-11-13
10443,443,Savings,Dormant,2021-02-07,2024-11-13
10444,444,Checking,Active,2022-08-26,2024-11-13
10445,445,Checking,Dormant,2015-10-11,2024-11-13
10446,446,Savings,Dormant,2016-05-23,2024-11-13
10447,447,Savings,Active,2023-12-17,
10448,448,Savings,Active,2019-10-04,2024-11-13
10449,449,Savings,Active,2017-06-06,2024-11-13
10450,450,Checking,Dormant,2024-02-28,
10451,451,Checking,Dormant,2023-01-22,2024-11-13
10452,452,Savings,Active,2020-09-11,2024-11-13
10453,453,Savings,Active,2020-01-06,2024-11-13
10454,454,Savings,Dormant,2024-06-13,
10455,455,Savings,Dormant,2015-03-17,2024-11-13
10456,456,Savings,Active,2020-02-19,2024-11-13
10457,457,Savings,Dormant,2023-11-07,2024-11-13
10458,458,Checking,Active,2017-06-13,2024-11-13
10459,459,Checking,Dormant,2015-12-14,2024-11-13
10460,460,Checking,Active,2016-05-10,2024-11-13
10461,461,Checking,Active,2017-07-17,2024-11-13
10462,462,Checking,Dormant,2019-03-23,2024-11-13
10463,463,Checking,Active,2022-07-27,2024-11-13
10464,464,Checking,Active,2022-11-01,
10465,465,Savings,Dormant,2020-10-18,
10466,466,Savings,Active,2024-05-01,
10467,467,Savings,Dormant,2021-09-21,2024-11-13
10468,468,Checking,Active,2024-02-08,2024-11-13
10469,469,Savings,Active,2024-10-09,2024-11-13
10470,470,Checking,Dormant,2023-09-26,2024-11-13
10471,471,Checking,Active,2016-04-28,2024-11-13
10472,472,Savings,Active,2014-12-06,
10473,473,Checking,Active,2018-09-23,2024-11-13
10474,474,Savings,Active,2019-04-17,2024-11-13
10475,475,Savings,Dormant,2016-09-20,
10476,476,Checking,Dormant,2017-02-08,2024-11-13
10477,477,Savings,Active,2015-10-31,2024-11-13
10478,478,Savings,Active,2020-08-14,2024-11-13
10479,479,Savings,Dormant,2022-11-16,2024-11-13
10480,480,Savings,Active,2021-02-04,2024-11-13
10481,481,Savings,Active,2020-09-27,
10482,482,Checking,Active,2024-10-28,
10483,483,Checking,Active,2018-09-28,2024-11-13
10484,484,Savings,Dormant,2019-07-28,2024-11-13
10485,485,Savings,Active,2021-11-21,2024-11-13
10486,486,Savings,Active,2022-02-25,2024-11-13
10487,487,Checking,Dormant,2024-08-04,2024-11-13
10488,488,Savings,Dormant,2021-04-02,
10489,489,Savings,Active,2015-01-02,2024-11-13
10490,490,Checking,Active,2024-10-05,
10491,491,Checking,Active,2016-03-06,2024-11-13
10492,492,Savings,Active,2022-04-03,
10493,493,Savings,Active,2022-09-25,2024-11-13
10494,494,Savings,Dormant,2015-07-17,2024-11-13
10495,495,Savings,Active,2015-06-08,2024-11-13
10496,496,Savings,Dormant,2024-06-27,2024-11-13
10497,497,Checking,Active,2018-03-21,2024-11-13
10498,498,Checking,Active,2021-05-25,2024-11-13
10499,499,Checking,Dormant,2024-11-03,2024-11-13
10500,500,Checking,Active,2021-09-04,2024-11-13
10501,501,Savings,Dormant,2015-11-03,2024-11-13
10502,502,Savings,Active,2024-07-24,2024-11-13
10503,503,Savings,Active,2017-04-22,2024-11-13
10504,504,Savings,Active,2016-07-14,2024-11-13
10505,505,Savings,Dormant,2015-09-26,2024-11-13
10506,506,Savings,Active,2017-10-04,2024-11-13
10507,507,Savings,Active,2021-04-05,2024-11-13
10508,508,Checking,Dormant,2022-04-30,2024-11-13
10509,509,Checking,Dormant,2018-11-24,2024-11-13
10510,510,Savings,Active,2023-02-15,2024-11-13
10511,511,Checking,Dormant,2023-10-25,2024-11-13
10512,512,Savings,Active,2024-07-10,2024-11-13
10513,513,Checking,Dormant,2024-09-25,2024-11-13
10514,514,Savings,Active,2019-09-24,2024-11-13
10515,515,Checking,Active,2021-05-19,
10516,516,Checking,Active,2017-12-16,
10517,517,Checking,Active,2021-06-28,2024-11-13
10518,518,Savings,Dormant,2019-05-14,2024-11-13
10519,519,Checking,Active,2022-04-04,2024-11-13
10520,520,Savings,Active,2015-04-08,
10521,521,Savings,Dormant,2020-10-11,
10522,522,Checking,Active,2015-08-27,2024-11-13
10523,523,Checking,Dormant,2024-08-22,2024-11-13
10524,524,Savings,Active,2016-01-10,2024-11-13
10525,525,Checking,Dormant,2023-04-29,2024-11-13
10526,526,Savings,Active,2023-01-10,2024-11-13
10527,527,Checking,Dormant,2016-11-14,2024-11-13
