TRANSACTIONID,CUSTOMERID,ACCOUNTID,TRANSACTIONTYPEID,BRANCHID,DATEID,AMOUNT,BALANCEAFTERTRANSACTION
421,6440,502,3,69,16,3497.96,11706.2
423,5416,15416,1,71,552,1517.7,4458.93
424,6575,843,3,6,101,4207.7,15531.13
425,4684,14684,1,30,552,1658.81,4559.65
426,14926,24926,2,35,982,2707.36,8436.59
427,509,10509,2,43,617,4821.3,911.27
428,4922,14922,1,89,35,4467.27,9203.59
429,3270,13270,2,25,892,2517.81,2108.75
430,12289,3870,3,87,583,4347.48,10950.24
431,2481,12481,1,50,1087,3568.73,16328.65
432,6628,16628,1,87,82,4183.71,17792.67
433,14291,24291,2,68,715,1285.6,2863.04
434,10402,20402,2,59,326,4147.52,9897.79
435,1252,11252,1,63,53,4098.91,2862.78
436,5967,15967,1,43,667,2140.58,17973.26
437,4800,14800,1,69,611,2051.92,5463.13
438,10174,20174,1,82,738,3742.17,10907.57
439,2756,25838,1,80,625,4486.5,10979.72
440,8485,18485,1,33,599,3953.51,10050.28
441,9925,1682,3,95,1089,4810.08,14154.58
442,91,3846,3,69,93,4509.64,7993.27
443,730,8437,3,50,824,3303.78,8282.83
444,14682,25238,2,35,903,647.93,2663.99
445,7784,17784,1,38,970,3022.15,7541.0
446,5899,15899,1,17,1007,1321.77,16418.53
447,14119,9405,3,60,286,3686.18,8994.88
448,5736,15736,1,91,278,3075.51,10598.89
449,595,10595,2,1,1082,3856.2,19868.42
450,8571,3636,3,24,897,4801.68,17424.24
451,1433,11433,1,92,970,154.39,15930.98
452,6436,16436,2,83,397,205.92,14723.54
453,10404,20404,1,25,317,4521.11,4712.67
454,6291,25450,2,39,776,1755.92,18853.74
455,12706,22706,2,60,313,4141.2,4255.05
456,7457,17457,2,63,144,3395.42,5218.22
457,7120,592,3,34,673,4731.84,14174.61
458,10320,20320,1,2,379,286.72,2579.8
459,12080,22080,2,50,532,310.68,2904.03
462,13073,23073,2,51,494,2652.25,3334.43
463,14180,24180,2,92,883,2171.89,10489.06
464,1934,8551,3,60,845,1575.51,17259.88
465,12702,3534,3,8,398,1360.01,18157.1
466,3266,13266,2,57,1047,3057.42,705.13
467,8553,18553,2,77,190,4632.47,8449.99
468,2423,12423,1,79,802,4427.61,5990.74
469,12508,8389,3,15,809,3402.76,17293.43
471,12042,22042,2,77,939,251.43,933.32
472,6383,16383,2,42,936,2822.57,19071.58
473,9934,19934,2,40,564,2141.15,16593.75
474,6272,1712,3,3,636,2489.12,7865.46
475,10391,20391,1,49,865,2157.41,5086.11
477,5048,15048,2,73,1088,2378.17,5791.96
478,6082,16082,2,28,1095,4983.34,4246.58
479,6524,16524,2,10,805,3202.48,10070.52
480,12019,8307,3,100,947,989.46,10062.01
481,1816,7721,3,85,834,4275.87,1451.87
482,11775,21775,2,87,410,4110.83,1070.63
483,4776,14776,2,30,325,1135.36,3703.68
484,14213,1757,3,33,82,1465.09,19324.01
485,5273,3006,3,2,713,4135.5,16297.99
486,1833,4119,3,20,464,3415.36,14448.56
488,11460,21460,2,25,1078,1642.38,11502.73
489,10479,20479,1,31,857,2069.75,17716.62
490,10751,20751,2,11,700,2111.43,4082.73
491,5011,3155,3,78,669,489.86,16380.46
492,14593,24593,2,32,809,2087.02,2579.57
493,13497,23497,1,53,1078,1598.35,15196.66
494,2488,420,3,14,358,3124.52,2198.31
495,7120,17120,1,27,628,95.85,12448.42
496,8719,18719,2,24,274,4454.27,13748.5
497,13042,23042,2,17,1061,3693.57,13661.37
498,10634,20634,1,35,224,3544.95,1035.66
499,12559,22559,2,34,1032,1589.85,15705.31
500,13896,23896,2,50,102,2969.59,5835.25
502,3631,5170,3,76,75,4201.84,18930.85
503,12440,22440,1,33,69,1050.13,11393.13
504,10754,20754,2,52,436,4513.82,6074.15
505,11635,21635,1,61,544,4086.71,9480.86
506,10394,20394,2,72,1072,88.06,11727.71
507,11824,21824,2,79,410,1216.22,6809.52
508,7486,17486,2,94,720,2172.55,12011.69
509,3096,2461,3,100,465,2123.48,3608.86
510,3576,13576,1,10,1086,340.18,14544.62
511,6090,16090,2,87,873,3591.0,12157.96
512,6408,16408,1,63,125,2810.43,4400.44
513,85,10085,2,43,1089,3809.74,7401.17
514,5146,15146,1,47,401,392.08,19573.08
515,4131,3348,3,97,458,3563.08,1928.01
516,9736,19736,1,29,790,85.7,9664.76
517,6898,16898,2,92,808,1336.57,7770.16
518,11127,6324,3,11,410,2220.3,5712.51
519,11395,21395,2,94,903,4483.71,17197.33
521,10262,20262,2,88,867,4342.31,14409.7
522,2217,4116,3,4,265,3423.76,2850.18
523,1100,6206,3,57,830,4731.11,2498.76
524,12956,22956,1,1,1007,2088.47,3698.24
525,6397,16397,1,70,838,3005.16,10699.13
526,5413,980,3,79,1013,442.87,1934.42
527,2156,5206,3,13,23,3050.68,7822.45
528,14091,5523,3,24,254,4350.53,5709.12
529,11344,21344,2,43,1085,1831.38,1171.42
530,11513,21513,1,40,709,4210.47,14718.21
531,2501,3159,3,8,587,341.26,5758.75
532,4973,14973,2,94,308,792.02,4906.6
533,14250,24250,1,66,808,3800.31,3259.05
534,8598,18598,1,43,259,2759.5,8380.16
535,9036,7173,3,44,1073,961.66,12958.88
536,9415,19415,1,95,59,1521.67,7673.57
537,11581,21581,2,58,1028,4723.39,8357.63
538,7187,17187,1,89,544,955.43,11468.2
539,8279,852,3,40,693,1050.51,6551.55
540,12822,1215,3,77,505,3052.88,1881.45
541,14734,24734,2,23,990,3314.71,9702.17
542,180,8801,3,57,68,2639.86,12580.56
544,14646,7184,3,69,944,3220.25,13064.75
545,12998,22998,2,72,734,2474.28,1979.98
548,2555,12555,2,76,631,4136.27,13160.64
549,8854,18854,1,14,42,1901.25,15578.93
550,11650,21650,2,27,747,4541.05,18876.17
551,11536,21536,1,47,910,4697.95,4232.88
552,14402,24402,2,37,433,2878.79,7652.55
554,10533,366,3,84,604,443.09,10987.24
555,7313,17313,2,66,144,1489.58,8920.45
556,1256,8140,3,58,977,140.39,7964.09
557,3704,13704,2,34,479,2121.12,18115.94
558,3986,8368,3,84,229,1129.44,14514.3
559,3100,13100,2,7,399,379.63,7459.78
560,2642,12642,1,27,996,1167.48,15280.39
561,2659,3546,3,70,120,2568.48,16236.77
562,12549,22549,1,7,1040,1163.09,14614.59
563,5843,8234,3,8,1015,4704.92,5285.86
564,2953,12953,2,68,851,702.1,15769.01
565,949,1912,3,63,526,2810.49,9513.53
566,5172,15172,1,29,441,3255.99,16301.04
567,9636,1877,3,12,211,2322.28,6578.25
568,13413,4108,3,63,291,2501.87,18621.01
569,12616,22616,1,54,1078,2739.19,8715.86
570,6753,9690,3,89,3,2615.27,5750.67
572,2667,2697,3,44,1065,4323.33,9408.94
573,6877,7743,3,75,327,901.76,4926.24
574,7107,17107,1,30,373,3234.16,4406.87
575,333,9457,3,62,970,2993.9,16424.74
576,6120,16120,2,49,1066,2924.36,8670.79
578,8526,18526,1,21,990,1973.69,5481.23
579,8897,18897,1,64,1066,1787.32,3722.71
580,4806,14806,1,1,177,1846.35,11641.44
581,7246,17246,1,27,506,2020.42,5866.69
582,3531,8009,3,18,587,2491.9,6623.48
583,169,10169,2,60,904,4479.2,12661.93
586,2650,2282,3,83,112,3789.07,10207.96
587,12035,22035,1,19,953,4553.48,17763.48
588,8302,18302,2,17,1076,3943.75,2768.63
589,178,10178,2,36,912,1996.76,10144.38
590,8690,18690,1,66,597,3664.35,15111.5
591,9544,19544,2,66,217,2400.02,14417.64
592,1178,4873,3,10,1077,3889.09,19392.01
593,5022,5320,3,37,935,4674.42,1595.14
594,13052,23052,1,41,704,1005.05,6910.91
595,14154,24154,2,5,691,169.68,1506.78
596,4871,14871,2,83,855,4013.02,19329.17
597,5131,9898,3,27,926,3629.45,6235.28
598,7149,17149,2,10,7,3245.26,19208.89
599,154,10154,1,61,715,2634.05,17811.67
600,1031,172,3,18,988,2714.78,1726.55
601,1928,25095,1,58,143,2618.15,5862.69
602,11047,21047,2,82,982,2724.46,10606.27
603,2375,12375,2,37,680,1294.04,4056.65
604,5505,7479,3,52,462,1479.09,17692.15
605,709,1534,3,96,437,3470.6,14177.0
606,8811,18811,2,32,567,4793.69,12218.1
607,7252,17252,1,95,850,2259.09,17134.54
608,8692,18692,2,36,959,1290.8,2385.57
609,11393,1169,3,69,993,4377.41,16462.5
610,5079,15079,2,43,523,483.66,12417.4
611,14198,24198,1,95,977,134.61,8890.91
612,3981,13981,1,25,852,410.49,18837.98
613,14115,3701,3,12,1081,2090.8,19605.75
614,8787,18787,1,84,500,4311.99,9459.38
615,2086,12086,2,45,157,501.51,4847.83
616,8534,25432,2,30,744,3784.23,14122.23
617,2064,6588,3,3,654,1192.03,15416.63
618,3550,4182,3,21,995,1725.97,6312.17
619,5449,15449,1,31,1048,912.14,12302.17
620,9406,721,3,37,728,4791.94,11777.46
621,14383,25528,1,83,92,4423.58,18999.52
622,12378,6253,3,75,904,491.53,1616.7
623,4557,3596,3,92,325,1103.79,5472.38
624,5756,15756,2,62,1071,3352.59,841.26
625,11951,1345,3,14,440,2784.58,3713.44
627,12530,1733,3,71,513,4156.82,1198.17
628,7381,7086,3,39,1047,594.05,16190.45
629,6610,16610,1,45,269,2349.79,18129.6
630,11990,21990,1,73,109,4007.34,5488.18
631,6543,16543,2,26,183,2084.53,9263.0
633,7205,9598,3,58,416,233.55,3469.4
634,14781,1629,3,55,498,3413.33,889.45
