DATEID,DATE,YEAR,MONTH,QUARTER,DAYOFWEEK
123,2021-05-03,2021,5,2,0
124,2021-05-04,2021,5,2,1
125,2021-05-05,2021,5,2,2
126,2021-05-06,2021,5,2,3
127,2021-05-07,2021,5,2,4
128,2021-05-08,2021,5,2,5
129,2021-05-09,2021,5,2,6
130,2021-05-10,2021,5,2,0
131,2021-05-11,2021,5,2,1
132,2021-05-12,2021,5,2,2
133,2021-05-13,2021,5,2,3
134,2021-05-14,2021,5,2,4
135,2021-05-15,2021,5,2,5
136,2021-05-16,2021,5,2,6
137,2021-05-17,2021,5,2,0
138,2021-05-18,2021,5,2,1
139,2021-05-19,2021,5,2,2
140,2021-05-20,2021,5,2,3
141,2021-05-21,2021,5,2,4
142,2021-05-22,2021,5,2,5
143,2021-05-23,2021,5,2,6
144,2021-05-24,2021,5,2,0
145,2021-05-25,2021,5,2,1
146,2021-05-26,2021,5,2,2
147,2021-05-27,2021,5,2,3
148,2021-05-28,2021,5,2,4
149,2021-05-29,2021,5,2,5
150,2021-05-30,2021,5,2,6
151,2021-05-31,2021,5,2,0
152,2021-06-01,2021,6,2,1
153,2021-06-02,2021,6,2,2
154,2021-06-03,2021,6,2,3
155,2021-06-04,2021,6,2,4
156,2021-06-05,2021,6,2,5
157,2021-06-06,2021,6,2,6
158,2021-06-07,2021,6,2,0
159,2021-06-08,2021,6,2,1
160,2021-06-09,2021,6,2,2
161,2021-06-10,2021,6,2,3
162,2021-06-11,2021,6,2,4
163,2021-06-12,2021,6,2,5
164,2021-06-13,2021,6,2,6
165,2021-06-14,2021,6,2,0
166,2021-06-15,2021,6,2,1
167,2021-06-16,2021,6,2,2
168,2021-06-17,2021,6,2,3
169,2021-06-18,2021,6,2,4
170,2021-06-19,2021,6,2,5
171,2021-06-20,2021,6,2,6
172,2021-06-21,2021,6,2,0
173,2021-06-22,2021,6,2,1
174,2021-06-23,2021,6,2,2
175,2021-06-24,2021,6,2,3
176,2021-06-25,2021,6,2,4
177,2021-06-26,2021,6,2,5
178,2021-06-27,2021,6,2,6
179,2021-06-28,2021,6,2,0
180,2021-06-29,2021,6,2,1
181,2021-06-30,2021,6,2,2
182,2021-07-01,2021,7,3,3
183,2021-07-02,2021,7,3,4
184,2021-07-03,2021,7,3,5
185,2021-07-04,2021,7,3,6
186,2021-07-05,2021,7,3,0
187,2021-07-06,2021,7,3,1
188,2021-07-07,2021,7,3,2
189,2021-07-08,2021,7,3,3
190,2021-07-09,2021,7,3,4
191,2021-07-10,2021,7,3,5
192,2021-07-11,2021,7,3,6
193,2021-07-12,2021,7,3,0
194,2021-07-13,2021,7,3,1
195,2021-07-14,2021,7,3,2
196,2021-07-15,2021,7,3,3
197,2021-07-16,2021,7,3,4
198,2021-07-17,2021,7,3,5
199,2021-07-18,2021,7,3,6
200,2021-07-19,2021,7,3,0
201,2021-07-20,2021,7,3,1
202,2021-07-21,2021,7,3,2
203,2021-07-22,2021,7,3,3
204,2021-07-23,2021,7,3,4
205,2021-07-24,2021,7,3,5
206,2021-07-25,2021,7,3,6
207,2021-07-26,2021,7,3,0
208,2021-07-27,2021,7,3,1
209,2021-07-28,2021,7,3,2
210,2021-07-29,2021,7,3,3
211,2021-07-30,2021,7,3,4
212,2021-07-31,2021,7,3,5
213,2021-08-01,2021,8,3,6
214,2021-08-02,2021,8,3,0
215,2021-08-03,2021,8,3,1
216,2021-08-04,2021,8,3,2
217,2021-08-05,2021,8,3,3
218,2021-08-06,2021,8,3,4
219,2021-08-07,2021,8,3,5
220,2021-08-08,2021,8,3,6
221,2021-08-09,2021,8,3,0
222,2021-08-10,2021,8,3,1
223,2021-08-11,2021,8,3,2
224,2021-08-12,2021,8,3,3
225,2021-08-13,2021,8,3,4
226,2021-08-14,2021,8,3,5
227,2021-08-15,2021,8,3,6
228,2021-08-16,2021,8,3,0
229,2021-08-17,2021,8,3,1
230,2021-08-18,2021,8,3,2
231,2021-08-19,2021,8,3,3
232,2021-08-20,2021,8,3,4
233,2021-08-21,2021,8,3,5
234,2021-08-22,2021,8,3,6
235,2021-08-23,2021,8,3,0
236,2021-08-24,2021,8,3,1
237,2021-08-25,2021,8,3,2
238,2021-08-26,2021,8,3,3
239,2021-08-27,2021,8,3,4
240,2021-08-28,2021,8,3,5
241,2021-08-29,2021,8,3,6
242,2021-08-30,2021,8,3,0
243,2021-08-31,2021,8,3,1
244,2021-09-01,2021,9,3,2
245,2021-09-02,2021,9,3,3
246,2021-09-03,2021,9,3,4
247,2021-09-04,2021,9,3,5
248,2021-09-05,2021,9,3,6
249,2021-09-06,2021,9,3,0
250,2021-09-07,2021,9,3,1
251,2021-09-08,2021,9,3,2
252,2021-09-09,2021,9,3,3
253,2021-09-10,2021,9,3,4
254,2021-09-11,2021,9,3,5
255,2021-09-12,2021,9,3,6
256,2021-09-13,2021,9,3,0
257,2021-09-14,2021,9,3,1
258,2021-09-15,2021,9,3,2
259,2021-09-16,2021,9,3,3
260,2021-09-17,2021,9,3,4
261,2021-09-18,2021,9,3,5
262,2021-09-19,2021,9,3,6
263,2021-09-20,2021,9,3,0
264,2021-09-21,2021,9,3,1
265,2021-09-22,2021,9,3,2
266,2021-09-23,2021,9,3,3
267,2021-09-24,2021,9,3,4
268,2021-09-25,2021,9,3,5
269,2021-09-26,2021,9,3,6
270,2021-09-27,2021,9,3,0
271,2021-09-28,2021,9,3,1
272,2021-09-29,2021,9,3,2
273,2021-09-30,2021,9,3,3
274,2021-10-01,2021,10,4,4
275,2021-10-02,2021,10,4,5
276,2021-10-03,2021,10,4,6
277,2021-10-04,2021,10,4,0
278,2021-10-05,2021,10,4,1
279,2021-10-06,2021,10,4,2
280,2021-10-07,2021,10,4,3
281,2021-10-08,2021,10,4,4
282,2021-10-09,2021,10,4,5
283,2021-10-10,2021,10,4,6
284,2021-10-11,2021,10,4,0
285,2021-10-12,2021,10,4,1
286,2021-10-13,2021,10,4,2
287,2021-10-14,2021,10,4,3
288,2021-10-15,2021,10,4,4
289,2021-10-16,2021,10,4,5
290,2021-10-17,2021,10,4,6
291,2021-10-18,2021,10,4,0
292,2021-10-19,2021,10,4,1
293,2021-10-20,2021,10,4,2
294,2021-10-21,2021,10,4,3
295,2021-10-22,2021,10,4,4
296,2021-10-23,2021,10,4,5
297,2021-10-24,2021,10,4,6
298,2021-10-25,2021,10,4,0
299,2021-10-26,2021,10,4,1
300,2021-10-27,2021,10,4,2
301,2021-10-28,2021,10,4,3
302,2021-10-29,2021,10,4,4
303,2021-10-30,2021,10,4,5
304,2021-10-31,2021,10,4,6
305,2021-11-01,2021,11,4,0
306,2021-11-02,2021,11,4,1
307,2021-11-03,2021,11,4,2
308,2021-11-04,2021,11,4,3
309,2021-11-05,2021,11,4,4
310,2021-11-06,2021,11,4,5
311,2021-11-07,2021,11,4,6
312,2021-11-08,2021,11,4,0
313,2021-11-09,2021,11,4,1
314,2021-11-10,2021,11,4,2
315,2021-11-11,2021,11,4,3
316,2021-11-12,2021,11,4,4
317,2021-11-13,2021,11,4,5
318,2021-11-14,2021,11,4,6
319,2021-11-15,2021,11,4,0
320,2021-11-16,2021,11,4,1
321,2021-11-17,2021,11,4,2
322,2021-11-18,2021,11,4,3
323,2021-11-19,2021,11,4,4
324,2021-11-20,2021,11,4,5
325,2021-11-21,2021,11,4,6
326,2021-11-22,2021,11,4,0
327,2021-11-23,2021,11,4,1
328,2021-11-24,2021,11,4,2
329,2021-11-25,2021,11,4,3
330,2021-11-26,2021,11,4,4
331,2021-11-27,2021,11,4,5
332,2021-11-28,2021,11,4,6
333,2021-11-29,2021,11,4,0
334,2021-11-30,2021,11,4,1
335,2021-12-01,2021,12,4,2
336,2021-12-02,2021,12,4,3
337,2021-12-03,2021,12,4,4
338,2021-12-04,2021,12,4,5
339,2021-12-05,2021,12,4,6
340,2021-12-06,2021,12,4,0
341,2021-12-07,2021,12,4,1
342,2021-12-08,2021,12,4,2
343,2021-12-09,2021,12,4,3
344,2021-12-10,2021,12,4,4
345,2021-12-11,2021,12,4,5
346,2021-12-12,2021,12,4,6
347,2021-12-13,2021,12,4,0
348,2021-12-14,2021,12,4,1
349,2021-12-15,2021,12,4,2
350,2021-12-16,2021,12,4,3
351,2021-12-17,2021,12,4,4
352,2021-12-18,2021,12,4,5
353,2021-12-19,2021,12,4,6
354,2021-12-20,2021,12,4,0
355,2021-12-21,2021,12,4,1
356,2021-12-22,2021,12,4,2
357,2021-12-23,2021,12,4,3
358,2021-12-24,2021,12,4,4
359,2021-12-25,2021,12,4,5
360,2021-12-26,2021,12,4,6
361,2021-12-27,2021,12,4,0
362,2021-12-28,2021,12,4,1
363,2021-12-29,2021,12,4,2
364,2021-12-30,2021,12,4,3
365,2021-12-31,2021,12,4,4
366,2022-01-01,2022,1,1,5
367,2022-01-02,2022,1,1,6
368,2022-01-03,2022,1,1,0
369,2022-01-04,2022,1,1,1
370,2022-01-05,2022,1,1,2
371,2022-01-06,2022,1,1,3
372,2022-01-07,2022,1,1,4
373,2022-01-08,2022,1,1,5
374,2022-01-09,2022,1,1,6
375,2022-01-10,2022,1,1,0
376,2022-01-11,2022,1,1,1
377,2022-01-12,2022,1,1,2
378,2022-01-13,2022,1,1,3
379,2022-01-14,2022,1,1,4
380,2022-01-15,2022,1,1,5
381,2022-01-16,2022,1,1,6
382,2022-01-17,2022,1,1,0
383,2022-01-18,2022,1,1,1
384,2022-01-19,2022,1,1,2
385,2022-01-20,2022,1,1,3
386,2022-01-21,2022,1,1,4
387,2022-01-22,2022,1,1,5
388,2022-01-23,2022,1,1,6
389,2022-01-24,2022,1,1,0
390,2022-01-25,2022,1,1,1
391,2022-01-26,2022,1,1,2
392,2022-01-27,2022,1,1,3
393,2022-01-28,2022,1,1,4
394,2022-01-29,2022,1,1,5
395,2022-01-30,2022,1,1,6
396,2022-01-31,2022,1,1,0
397,2022-02-01,2022,2,1,1
398,2022-02-02,2022,2,1,2
399,2022-02-03,2022,2,1,3
400,2022-02-04,2022,2,1,4
401,2022-02-05,2022,2,1,5
402,2022-02-06,2022,2,1,6
403,2022-02-07,2022,2,1,0
404,2022-02-08,2022,2,1,1
405,2022-02-09,2022,2,1,2
406,2022-02-10,2022,2,1,3
407,2022-02-11,2022,2,1,4
408,2022-02-12,2022,2,1,5
409,2022-02-13,2022,2,1,6
410,2022-02-14,2022,2,1,0
411,2022-02-15,2022,2,1,1
412,2022-02-16,2022,2,1,2
413,2022-02-17,2022,2,1,3
414,2022-02-18,2022,2,1,4
415,2022-02-19,2022,2,1,5
416,2022-02-20,2022,2,1,6
417,2022-02-21,2022,2,1,0
418,2022-02-22,2022,2,1,1
419,2022-02-23,2022,2,1,2
420,2022-02-24,2022,2,1,3
421,2022-02-25,2022,2,1,4
422,2022-02-26,2022,2,1,5
423,2022-02-27,2022,2,1,6
424,2022-02-28,2022,2,1,0
425,2022-03-01,2022,3,1,1
426,2022-03-02,2022,3,1,2
427,2022-03-03,2022,3,1,3
428,2022-03-04,2022,3,1,4
429,2022-03-05,2022,3,1,5
430,2022-03-06,2022,3,1,6
431,2022-03-07,2022,3,1,0
432,2022-03-08,2022,3,1,1
433,2022-03-09,2022,3,1,2
434,2022-03-10,2022,3,1,3
435,2022-03-11,2022,3,1,4
436,2022-03-12,2022,3,1,5
437,2022-03-13,2022,3,1,6
438,2022-03-14,2022,3,1,0
439,2022-03-15,2022,3,1,1
440,2022-03-16,2022,3,1,2
441,2022-03-17,2022,3,1,3
442,2022-03-18,2022,3,1,4
443,2022-03-19,2022,3,1,5
444,2022-03-20,2022,3,1,6
445,2022-03-21,2022,3,1,0
446,2022-03-22,2022,3,1,1
447,2022-03-23,2022,3,1,2
448,2022-03-24,2022,3,1,3
449,2022-03-25,2022,3,1,4
450,2022-03-26,2022,3,1,5
451,2022-03-27,2022,3,1,6
452,2022-03-28,2022,3,1,0
453,2022-03-29,2022,3,1,1
454,2022-03-30,2022,3,1,2
455,2022-03-31,2022,3,1,3
456,2022-04-01,2022,4,2,4
457,2022-04-02,2022,4,2,5
458,2022-04-03,2022,4,2,6
459,2022-04-04,2022,4,2,0
460,2022-04-05,2022,4,2,1
461,2022-04-06,2022,4,2,2
462,2022-04-07,2022,4,2,3
463,2022-04-08,2022,4,2,4
464,2022-04-09,2022,4,2,5
465,2022-04-10,2022,4,2,6
466,2022-04-11,2022,4,2,0
467,2022-04-12,2022,4,2,1
468,2022-04-13,2022,4,2,2
469,2022-04-14,2022,4,2,3
470,2022-04-15,2022,4,2,4
471,2022-04-16,2022,4,2,5
472,2022-04-17,2022,4,2,6
473,2022-04-18,2022,4,2,0
474,2022-04-19,2022,4,2,1
475,2022-04-20,2022,4,2,2
476,2022-04-21,2022,4,2,3
477,2022-04-22,2022,4,2,4
478,2022-04-23,2022,4,2,5
479,2022-04-24,2022,4,2,6
480,2022-04-25,2022,4,2,0
481,2022-04-26,2022,4,2,1
482,2022-04-27,2022,4,2,2
483,2022-04-28,2022,4,2,3
484,2022-04-29,2022,4,2,4
485,2022-04-30,2022,4,2,5
486,2022-05-01,2022,5,2,6
487,2022-05-02,2022,5,2,0
488,2022-05-03,2022,5,2,1
489,2022-05-04,2022,5,2,2
490,2022-05-05,2022,5,2,3
491,2022-05-06,2022,5,2,4
492,2022-05-07,2022,5,2,5
493,2022-05-08,2022,5,2,6
494,2022-05-09,2022,5,2,0
495,2022-05-10,2022,5,2,1
496,2022-05-11,2022,5,2,2
497,2022-05-12,2022,5,2,3
498,2022-05-13,2022,5,2,4
499,2022-05-14,2022,5,2,5
500,2022-05-15,2022,5,2,6
501,2022-05-16,2022,5,2,0
502,2022-05-17,2022,5,2,1
503,2022-05-18,2022,5,2,2
504,2022-05-19,2022,5,2,3
505,2022-05-20,2022,5,2,4
506,2022-05-21,2022,5,2,5
507,2022-05-22,2022,5,2,6
508,2022-05-23,2022,5,2,0
509,2022-05-24,2022,5,2,1
510,2022-05-25,2022,5,2,2
511,2022-05-26,2022,5,2,3
512,2022-05-27,2022,5,2,4
513,2022-05-28,2022,5,2,5
514,2022-05-29,2022,5,2,6
515,2022-05-30,2022,5,2,0
516,2022-05-31,2022,5,2,1
517,2022-06-01,2022,6,2,2
518,2022-06-02,2022,6,2,3
519,2022-06-03,2022,6,2,4
520,2022-06-04,2022,6,2,5
521,2022-06-05,2022,6,2,6
522,2022-06-06,2022,6,2,0
523,2022-06-07,2022,6,2,1
524,2022-06-08,2022,6,2,2
525,2022-06-09,2022,6,2,3
526,2022-06-10,2022,6,2,4
527,2022-06-11,2022,6,2,5
528,2022-06-12,2022,6,2,6
529,2022-06-13,2022,6,2,0
530,2022-06-14,2022,6,2,1
531,2022-06-15,2022,6,2,2
532,2022-06-16,2022,6,2,3
533,2022-06-17,2022,6,2,4
534,2022-06-18,2022,6,2,5
535,2022-06-19,2022,6,2,6
536,2022-06-20,2022,6,2,0
537,2022-06-21,2022,6,2,1
538,2022-06-22,2022,6,2,2
539,2022-06-23,2022,6,2,3
540,2022-06-24,2022,6,2,4
541,2022-06-25,2022,6,2,5
542,2022-06-26,2022,6,2,6
543,2022-06-27,2022,6,2,0
544,2022-06-28,2022,6,2,1
545,2022-06-29,2022,6,2,2
546,2022-06-30,2022,6,2,3
547,2022-07-01,2022,7,3,4
548,2022-07-02,2022,7,3,5
549,2022-07-03,2022,7,3,6
550,2022-07-04,2022,7,3,0
551,2022-07-05,2022,7,3,1
552,2022-07-06,2022,7,3,2
553,2022-07-07,2022,7,3,3
554,2022-07-08,2022,7,3,4
555,2022-07-09,2022,7,3,5
556,2022-07-10,2022,7,3,6
557,2022-07-11,2022,7,3,0
558,2022-07-12,2022,7,3,1
559,2022-07-13,2022,7,3,2
560,2022-07-14,2022,7,3,3
561,2022-07-15,2022,7,3,4
562,2022-07-16,2022,7,3,5
563,2022-07-17,2022,7,3,6
564,2022-07-18,2022,7,3,0
565,2022-07-19,2022,7,3,1
566,2022-07-20,2022,7,3,2
567,2022-07-21,2022,7,3,3
568,2022-07-22,2022,7,3,4
569,2022-07-23,2022,7,3,5
570,2022-07-24,2022,7,3,6
571,2022-07-25,2022,7,3,0
572,2022-07-26,2022,7,3,1
573,2022-07-27,2022,7,3,2
574,2022-07-28,2022,7,3,3
575,2022-07-29,2022,7,3,4
576,2022-07-30,2022,7,3,5
577,2022-07-31,2022,7,3,6
578,2022-08-01,2022,8,3,0
579,2022-08-02,2022,8,3,1
580,2022-08-03,2022,8,3,2
581,2022-08-04,2022,8,3,3
582,2022-08-05,2022,8,3,4
583,2022-08-06,2022,8,3,5
584,2022-08-07,2022,8,3,6
585,2022-08-08,2022,8,3,0
586,2022-08-09,2022,8,3,1
587,2022-08-10,2022,8,3,2
588,2022-08-11,2022,8,3,3
589,2022-08-12,2022,8,3,4
590,2022-08-13,2022,8,3,5
591,2022-08-14,2022,8,3,6
592,2022-08-15,2022,8,3,0
593,2022-08-16,2022,8,3,1
594,2022-08-17,2022,8,3,2
595,2022-08-18,2022,8,3,3
596,2022-08-19,2022,8,3,4
597,2022-08-20,2022,8,3,5
598,2022-08-21,2022,8,3,6
599,2022-08-22,2022,8,3,0
600,2022-08-23,2022,8,3,1
601,2022-08-24,2022,8,3,2
602,2022-08-25,2022,8,3,3
603,2022-08-26,2022,8,3,4
604,2022-08-27,2022,8,3,5
605,2022-08-28,2022,8,3,6
606,2022-08-29,2022,8,3,0
607,2022-08-30,2022,8,3,1
608,2022-08-31,2022,8,3,2
609,2022-09-01,2022,9,3,3
610,2022-09-02,2022,9,3,4
611,2022-09-03,2022,9,3,5
612,2022-09-04,2022,9,3,6
613,2022-09-05,2022,9,3,0
614,2022-09-06,2022,9,3,1
615,2022-09-07,2022,9,3,2
616,2022-09-08,2022,9,3,3
617,2022-09-09,2022,9,3,4
618,2022-09-10,2022,9,3,5
619,2022-09-11,2022,9,3,6
620,2022-09-12,2022,9,3,0
621,2022-09-13,2022,9,3,1
622,2022-09-14,2022,9,3,2
623,2022-09-15,2022,9,3,3
624,2022-09-16,2022,9,3,4
625,2022-09-17,2022,9,3,5
626,2022-09-18,2022,9,3,6
627,2022-09-19,2022,9,3,0
628,2022-09-20,2022,9,3,1
629,2022-09-21,2022,9,3,2
630,2022-09-22,2022,9,3,3
631,2022-09-23,2022,9,3,4
632,2022-09-24,2022,9,3,5
633,2022-09-25,2022,9,3,6
634,2022-09-26,2022,9,3,0
635,2022-09-27,2022,9,3,1
636,2022-09-28,2022,9,3,2
637,2022-09-29,2022,9,3,3
638,2022-09-30,2022,9,3,4
639,2022-10-01,2022,10,4,5
640,2022-10-02,2022,10,4,6
641,2022-10-03,2022,10,4,0
642,2022-10-04,2022,10,4,1
643,2022-10-05,2022,10,4,2
644,2022-10-06,2022,10,4,3
645,2022-10-07,2022,10,4,4
646,2022-10-08,2022,10,4,5
647,2022-10-09,2022,10,4,6
648,2022-10-10,2022,10,4,0
649,2022-10-11,2022,10,4,1
650,2022-10-12,2022,10,4,2
651,2022-10-13,2022,10,4,3
652,2022-10-14,2022,10,4,4
653,2022-10-15,2022,10,4,5
654,2022-10-16,2022,10,4,6
655,2022-10-17,2022,10,4,0
656,2022-10-18,2022,10,4,1
657,2022-10-19,2022,10,4,2
658,2022-10-20,2022,10,4,3
659,2022-10-21,2022,10,4,4
660,2022-10-22,2022,10,4,5
661,2022-10-23,2022,10,4,6
662,2022-10-24,2022,10,4,0
663,2022-10-25,2022,10,4,1
664,2022-10-26,2022,10,4,2
665,2022-10-27,2022,10,4,3
666,2022-10-28,2022,10,4,4
667,2022-10-29,2022,10,4,5
668,2022-10-30,2022,10,4,6
669,2022-10-31,2022,10,4,0
670,2022-11-01,2022,11,4,1
671,2022-11-02,2022,11,4,2
672,2022-11-03,2022,11,4,3
673,2022-11-04,2022,11,4,4
674,2022-11-05,2022,11,4,5
675,2022-11-06,2022,11,4,6
676,2022-11-07,2022,11,4,0
677,2022-11-08,2022,11,4,1
678,2022-11-09,2022,11,4,2
679,2022-11-10,2022,11,4,3
680,2022-11-11,2022,11,4,4
681,2022-11-12,2022,11,4,5
682,2022-11-13,2022,11,4,6
683,2022-11-14,2022,11,4,0
684,2022-11-15,2022,11,4,1
685,2022-11-16,2022,11,4,2
686,2022-11-17,2022,11,4,3
687,2022-11-18,2022,11,4,4
688,2022-11-19,2022,11,4,5
689,2022-11-20,2022,11,4,6
690,2022-11-21,2022,11,4,0
691,2022-11-22,2022,11,4,1
692,2022-11-23,2022,11,4,2
693,2022-11-24,2022,11,4,3
694,2022-11-25,2022,11,4,4
695,2022-11-26,2022,11,4,5
696,2022-11-27,2022,11,4,6
697,2022-11-28,2022,11,4,0
698,2022-11-29,2022,11,4,1
699,2022-11-30,2022,11,4,2
700,2022-12-01,2022,12,4,3
701,2022-12-02,2022,12,4,4
702,2022-12-03,2022,12,4,5
703,2022-12-04,2022,12,4,6
704,2022-12-05,2022,12,4,0
705,2022-12-06,2022,12,4,1
706,2022-12-07,2022,12,4,2
707,2022-12-08,2022,12,4,3
708,2022-12-09,2022,12,4,4
709,2022-12-10,2022,12,4,5
710,2022-12-11,2022,12,4,6
711,2022-12-12,2022,12,4,0
712,2022-12-13,2022,12,4,1
713,2022-12-14,2022,12,4,2
714,2022-12-15,2022,12,4,3
715,2022-12-16,2022,12,4,4
716,2022-12-17,2022,12,4,5
717,2022-12-18,2022,12,4,6
718,2022-12-19,2022,12,4,0
719,2022-12-20,2022,12,4,1
720,2022-12-21,2022,12,4,2
721,2022-12-22,2022,12,4,3
722,2022-12-23,2022,12,4,4
723,2022-12-24,2022,12,4,5
724,2022-12-25,2022,12,4,6
725,2022-12-26,2022,12,4,0
726,2022-12-27,2022,12,4,1
727,2022-12-28,2022,12,4,2
728,2022-12-29,2022,12,4,3
729,2022-12-30,2022,12,4,4
730,2022-12-31,2022,12,4,5
731,2023-01-01,2023,1,1,6
732,2023-01-02,2023,1,1,0
733,2023-01-03,2023,1,1,1
734,2023-01-04,2023,1,1,2
735,2023-01-05,2023,1,1,3
736,2023-01-06,2023,1,1,4
737,2023-01-07,2023,1,1,5
738,2023-01-08,2023,1,1,6
739,2023-01-09,2023,1,1,0
740,2023-01-10,2023,1,1,1
741,2023-01-11,2023,1,1,2
742,2023-01-12,2023,1,1,3
743,2023-01-13,2023,1,1,4
744,2023-01-14,2023,1,1,5
745,2023-01-15,2023,1,1,6
746,2023-01-16,2023,1,1,0
747,2023-01-17,2023,1,1,1
748,2023-01-18,2023,1,1,2
749,2023-01-19,2023,1,1,3
750,2023-01-20,2023,1,1,4
751,2023-01-21,2023,1,1,5
752,2023-01-22,2023,1,1,6
753,2023-01-23,2023,1,1,0
754,2023-01-24,2023,1,1,1
755,2023-01-25,2023,1,1,2
756,2023-01-26,2023,1,1,3
757,2023-01-27,2023,1,1,4
758,2023-01-28,2023,1,1,5
759,2023-01-29,2023,1,1,6
760,2023-01-30,2023,1,1,0
761,2023-01-31,2023,1,1,1
762,2023-02-01,2023,2,1,2
763,2023-02-02,2023,2,1,3
764,2023-02-03,2023,2,1,4
765,2023-02-04,2023,2,1,5
766,2023-02-05,2023,2,1,6
767,2023-02-06,2023,2,1,0
768,2023-02-07,2023,2,1,1
769,2023-02-08,2023,2,1,2
770,2023-02-09,2023,2,1,3
771,2023-02-10,2023,2,1,4
772,2023-02-11,2023,2,1,5
773,2023-02-12,2023,2,1,6
